,Repetition,ON duration (ms),Laser Power (mW),Turn ON Laser Time,Turn OFF Laser Time,Turn ON Laser Time (ms)
0,1,500,0,14:39:18.602096,14:39:19.109755,0 days 00:00:00.507659
1,2,500,0,14:39:22.147213,14:39:22.650115,0 days 00:00:00.502902
2,3,500,0,14:39:25.678973,14:39:26.180574,0 days 00:00:00.501601
3,4,500,0,14:39:29.218042,14:39:29.725402,0 days 00:00:00.507360
4,5,500,0,14:39:32.750409,14:39:33.259958,0 days 00:00:00.509549
5,6,500,0,14:39:36.293092,14:39:36.800182,0 days 00:00:00.507090
6,7,500,0,14:39:39.833356,14:39:40.342871,0 days 00:00:00.509515
7,8,500,0,14:39:43.366769,14:39:43.875740,0 days 00:00:00.508971
8,9,500,0,14:39:46.902093,14:39:47.411754,0 days 00:00:00.509661
9,10,500,0,14:39:50.434029,14:39:50.958639,0 days 00:00:00.524610
10,1,500,20,14:39:53.983086,14:39:54.501659,0 days 00:00:00.518573
11,2,500,20,14:39:57.541868,14:39:58.058780,0 days 00:00:00.516912
12,3,500,20,14:40:01.101539,14:40:01.611234,0 days 00:00:00.509695
13,4,500,20,14:40:04.641653,14:40:05.157850,0 days 00:00:00.516197
14,5,500,20,14:40:08.192209,14:40:08.709763,0 days 00:00:00.517554
15,6,500,20,14:40:11.747842,14:40:12.255567,0 days 00:00:00.507725
16,7,500,20,14:40:15.281032,14:40:15.790599,0 days 00:00:00.509567
17,8,500,20,14:40:18.814314,14:40:19.324059,0 days 00:00:00.509745
18,9,500,20,14:40:22.347377,14:40:22.856984,0 days 00:00:00.509607
19,10,500,20,14:40:25.897275,14:40:26.406913,0 days 00:00:00.509638
20,1,500,40,14:40:29.447118,14:40:29.956566,0 days 00:00:00.509448
21,2,500,40,14:40:32.980753,14:40:33.499872,0 days 00:00:00.519119
22,3,500,40,14:40:36.539617,14:40:37.039706,0 days 00:00:00.500089
23,4,500,40,14:40:40.064421,14:40:40.573802,0 days 00:00:00.509381
24,5,500,40,14:40:43.602933,14:40:44.112672,0 days 00:00:00.509739
25,6,500,40,14:40:47.147557,14:40:47.657304,0 days 00:00:00.509747
26,7,500,40,14:40:50.685747,14:40:51.195392,0 days 00:00:00.509645
27,8,500,40,14:40:54.227988,14:40:54.737724,0 days 00:00:00.509736
28,9,500,40,14:40:57.763398,14:40:58.273097,0 days 00:00:00.509699
29,10,500,40,14:41:01.294428,14:41:01.797425,0 days 00:00:00.502997
30,1,500,60,14:41:04.827108,14:41:05.329880,0 days 00:00:00.502772
31,2,500,60,14:41:08.351534,14:41:08.861261,0 days 00:00:00.509727
32,3,500,60,14:41:11.883074,14:41:12.392819,0 days 00:00:00.509745
33,4,500,60,14:41:15.414309,14:41:15.924032,0 days 00:00:00.509723
34,5,500,60,14:41:18.951423,14:41:19.461142,0 days 00:00:00.509719
35,6,500,60,14:41:22.489520,14:41:22.999247,0 days 00:00:00.509727
36,7,500,60,14:41:26.038430,14:41:26.541175,0 days 00:00:00.502745
37,8,500,60,14:41:29.565693,14:41:30.075398,0 days 00:00:00.509705
38,9,500,60,14:41:33.095714,14:41:33.601331,0 days 00:00:00.505617
39,10,500,60,14:41:36.621682,14:41:37.133416,0 days 00:00:00.511734
40,1,500,80,14:41:40.155922,14:41:40.659373,0 days 00:00:00.503451
41,2,500,80,14:41:43.687750,14:41:44.197481,0 days 00:00:00.509731
42,3,500,80,14:41:47.218738,14:41:47.728526,0 days 00:00:00.509788
43,4,500,80,14:41:50.750159,14:41:51.269902,0 days 00:00:00.519743
44,5,500,80,14:41:54.299808,14:41:54.809537,0 days 00:00:00.509729
45,6,500,80,14:41:57.838657,14:41:58.348392,0 days 00:00:00.509735
46,7,500,80,14:42:01.378195,14:42:01.880654,0 days 00:00:00.502459
47,8,500,80,14:42:04.908971,14:42:05.418694,0 days 00:00:00.509723
48,9,500,80,14:42:08.441804,14:42:08.951528,0 days 00:00:00.509724
49,10,500,80,14:42:11.979913,14:42:12.483103,0 days 00:00:00.503190
50,1,500,100,14:42:15.531474,14:42:16.041223,0 days 00:00:00.509749
51,2,500,100,14:42:19.073841,14:42:19.576377,0 days 00:00:00.502536
52,3,500,100,14:42:22.605358,14:42:23.107694,0 days 00:00:00.502336
53,4,500,100,14:42:26.147013,14:42:26.648060,0 days 00:00:00.501047
54,5,500,100,14:42:29.669005,14:42:30.169252,0 days 00:00:00.500247
55,6,500,100,14:42:33.197617,14:42:33.707349,0 days 00:00:00.509732
56,7,500,100,14:42:36.739210,14:42:37.248969,0 days 00:00:00.509759
57,8,500,100,14:42:40.278476,14:42:40.788190,0 days 00:00:00.509714
58,9,500,100,14:42:43.817912,14:42:44.327707,0 days 00:00:00.509795
59,10,500,100,14:42:47.356039,14:42:47.856594,0 days 00:00:00.500555
