,Repetition,ON duration (ms),Laser Power (mW),Turn ON Laser Time,Turn OFF Laser Time,Turn ON Laser Time (ms)
0,1,500,0,15:18:49.294513,15:18:49.802831,0 days 00:00:00.508318
1,2,500,0,15:18:52.836513,15:18:53.346203,0 days 00:00:00.509690
2,3,500,0,15:18:56.386209,15:18:56.896042,0 days 00:00:00.509833
3,4,500,0,15:18:59.939589,15:19:00.447643,0 days 00:00:00.508054
4,5,500,0,15:19:03.485849,15:19:03.995180,0 days 00:00:00.509331
5,6,500,0,15:19:07.018939,15:19:07.528469,0 days 00:00:00.509530
6,7,500,0,15:19:10.568869,15:19:11.078503,0 days 00:00:00.509634
7,8,500,0,15:19:14.118540,15:19:14.628627,0 days 00:00:00.510087
8,9,500,0,15:19:17.655409,15:19:18.161069,0 days 00:00:00.505660
9,10,500,0,15:19:21.184649,15:19:21.694324,0 days 00:00:00.509675
10,1,500,20,15:19:24.717917,15:19:25.227715,0 days 00:00:00.509798
11,2,500,20,15:19:28.253387,15:19:28.767736,0 days 00:00:00.514349
12,3,500,20,15:19:31.801048,15:19:32.317593,0 days 00:00:00.516545
13,4,500,20,15:19:35.350552,15:19:35.859801,0 days 00:00:00.509249
14,5,500,20,15:19:38.893303,15:19:39.396320,0 days 00:00:00.503017
15,6,500,20,15:19:42.417023,15:19:42.926554,0 days 00:00:00.509531
16,7,500,20,15:19:45.959842,15:19:46.471044,0 days 00:00:00.511202
17,8,500,20,15:19:49.493129,15:19:50.009677,0 days 00:00:00.516548
18,9,500,20,15:19:53.033071,15:19:53.542560,0 days 00:00:00.509489
19,10,500,20,15:19:56.575696,15:19:57.076848,0 days 00:00:00.501152
20,1,500,40,15:20:00.116211,15:20:00.625372,0 days 00:00:00.509161
21,2,500,40,15:20:03.649147,15:20:04.159043,0 days 00:00:00.509896
22,3,500,40,15:20:07.199126,15:20:07.709608,0 days 00:00:00.510482
23,4,500,40,15:20:10.736615,15:20:11.242201,0 days 00:00:00.505586
24,5,500,40,15:20:14.281349,15:20:14.799102,0 days 00:00:00.517753
25,6,500,40,15:20:17.831681,15:20:18.331850,0 days 00:00:00.500169
26,7,500,40,15:20:21.365233,15:20:21.874379,0 days 00:00:00.509146
27,8,500,40,15:20:24.901443,15:20:25.407588,0 days 00:00:00.506145
28,9,500,40,15:20:28.435177,15:20:28.941838,0 days 00:00:00.506661
29,10,500,40,15:20:31.982772,15:20:32.498154,0 days 00:00:00.515382
30,1,500,60,15:20:35.531120,15:20:36.047761,0 days 00:00:00.516641
31,2,500,60,15:20:39.080902,15:20:39.590102,0 days 00:00:00.509200
32,3,500,60,15:20:42.614138,15:20:43.130276,0 days 00:00:00.516138
33,4,500,60,15:20:46.166613,15:20:46.673330,0 days 00:00:00.506717
34,5,500,60,15:20:49.712916,15:20:50.223019,0 days 00:00:00.510103
35,6,500,60,15:20:53.256453,15:20:53.769982,0 days 00:00:00.513529
36,7,500,60,15:20:56.795859,15:20:57.300470,0 days 00:00:00.504611
37,8,500,60,15:21:00.328888,15:21:00.839587,0 days 00:00:00.510699
38,9,500,60,15:21:03.878623,15:21:04.388777,0 days 00:00:00.510154
39,10,500,60,15:21:07.428551,15:21:07.945505,0 days 00:00:00.516954
40,1,500,80,15:21:10.979068,15:21:11.488517,0 days 00:00:00.509449
41,2,500,80,15:21:14.528934,15:21:15.038160,0 days 00:00:00.509226
42,3,500,80,15:21:18.078234,15:21:18.581968,0 days 00:00:00.503734
43,4,500,80,15:21:21.611262,15:21:22.121193,0 days 00:00:00.509931
44,5,500,80,15:21:25.161359,15:21:25.671235,0 days 00:00:00.509876
45,6,500,80,15:21:28.711138,15:21:29.220893,0 days 00:00:00.509755
46,7,500,80,15:21:32.277646,15:21:32.781244,0 days 00:00:00.503598
47,8,500,80,15:21:35.813560,15:21:36.321007,0 days 00:00:00.507447
48,9,500,80,15:21:39.360406,15:21:39.865805,0 days 00:00:00.505399
49,10,500,80,15:21:42.894311,15:21:43.403488,0 days 00:00:00.509177
50,1,500,100,15:21:46.436674,15:21:46.936997,0 days 00:00:00.500323
51,2,500,100,15:21:49.976578,15:21:50.484113,0 days 00:00:00.507535
52,3,500,100,15:21:53.510277,15:21:54.019152,0 days 00:00:00.508875
53,4,500,100,15:21:57.042929,15:21:57.552375,0 days 00:00:00.509446
54,5,500,100,15:22:00.578775,15:22:01.087880,0 days 00:00:00.509105
55,6,500,100,15:22:04.118993,15:22:04.619256,0 days 00:00:00.500263
56,7,500,100,15:22:07.642711,15:22:08.151763,0 days 00:00:00.509052
57,8,500,100,15:22:11.178053,15:22:11.691854,0 days 00:00:00.513801
58,9,500,100,15:22:14.724977,15:22:15.235626,0 days 00:00:00.510649
59,10,500,100,15:22:18.281902,15:22:18.788578,0 days 00:00:00.506676
