,Repetition,ON duration (ms),Laser Power (mW),Turn ON Laser Time,Turn OFF Laser Time,Turn ON Laser Time (ms)
0,1,500,0,11:17:36.697373,11:17:37.208418,0 days 00:00:00.511045
1,2,500,0,11:17:40.239057,11:17:40.741679,0 days 00:00:00.502622
2,3,500,0,11:17:43.781766,11:17:44.288734,0 days 00:00:00.506968
3,4,500,0,11:17:47.322495,11:17:47.831580,0 days 00:00:00.509085
4,5,500,0,11:17:50.857527,11:17:51.367364,0 days 00:00:00.509837
5,6,500,0,11:17:54.388132,11:17:54.898101,0 days 00:00:00.509969
6,7,500,0,11:17:57.939506,11:17:58.440713,0 days 00:00:00.501207
7,8,500,0,11:18:01.471255,11:18:01.980897,0 days 00:00:00.509642
8,9,500,0,11:18:05.004941,11:18:05.506820,0 days 00:00:00.501879
9,10,500,0,11:18:08.537365,11:18:09.047501,0 days 00:00:00.510136
10,1,500,20,11:18:12.070874,11:18:12.586887,0 days 00:00:00.516013
11,2,500,20,11:18:15.620795,11:18:16.130011,0 days 00:00:00.509216
12,3,500,20,11:18:19.157545,11:18:19.669695,0 days 00:00:00.512150
13,4,500,20,11:18:22.704266,11:18:23.214322,0 days 00:00:00.510056
14,5,500,20,11:18:26.256007,11:18:26.766680,0 days 00:00:00.510673
15,6,500,20,11:18:29.786631,11:18:30.297175,0 days 00:00:00.510544
16,7,500,20,11:18:33.329691,11:18:33.845797,0 days 00:00:00.516106
17,8,500,20,11:18:36.879247,11:18:37.386691,0 days 00:00:00.507444
18,9,500,20,11:18:40.419244,11:18:40.928797,0 days 00:00:00.509553
19,10,500,20,11:18:43.971142,11:18:44.478710,0 days 00:00:00.507568
20,1,500,40,11:18:47.502318,11:18:48.011974,0 days 00:00:00.509656
21,2,500,40,11:18:51.035523,11:18:51.537451,0 days 00:00:00.501928
22,3,500,40,11:18:54.585151,11:18:55.094657,0 days 00:00:00.509506
23,4,500,40,11:18:58.118163,11:18:58.627682,0 days 00:00:00.509519
24,5,500,40,11:19:01.653348,11:19:02.161591,0 days 00:00:00.508243
25,6,500,40,11:19:05.201086,11:19:05.702100,0 days 00:00:00.501014
26,7,500,40,11:19:08.727447,11:19:09.230092,0 days 00:00:00.502645
27,8,500,40,11:19:12.257030,11:19:12.764535,0 days 00:00:00.507505
28,9,500,40,11:19:15.786546,11:19:16.289116,0 days 00:00:00.502570
29,10,500,40,11:19:19.316726,11:19:19.823000,0 days 00:00:00.506274
30,1,500,60,11:19:22.849138,11:19:23.352624,0 days 00:00:00.503486
31,2,500,60,11:19:26.390842,11:19:26.895535,0 days 00:00:00.504693
32,3,500,60,11:19:29.922506,11:19:30.425804,0 days 00:00:00.503298
33,4,500,60,11:19:33.448702,11:19:33.957463,0 days 00:00:00.508761
34,5,500,60,11:19:36.993734,11:19:37.494402,0 days 00:00:00.500668
35,6,500,60,11:19:40.528274,11:19:41.045107,0 days 00:00:00.516833
36,7,500,60,11:19:44.082858,11:19:44.592130,0 days 00:00:00.509272
37,8,500,60,11:19:47.620414,11:19:48.131852,0 days 00:00:00.511438
38,9,500,60,11:19:51.165306,11:19:51.674984,0 days 00:00:00.509678
39,10,500,60,11:19:54.708059,11:19:55.209326,0 days 00:00:00.501267
40,1,500,80,11:19:58.248328,11:19:58.758237,0 days 00:00:00.509909
41,2,500,80,11:20:01.798195,11:20:02.307667,0 days 00:00:00.509472
42,3,500,80,11:20:05.347558,11:20:05.851139,0 days 00:00:00.503581
43,4,500,80,11:20:08.881130,11:20:09.382933,0 days 00:00:00.501803
44,5,500,80,11:20:12.406882,11:20:12.907164,0 days 00:00:00.500282
45,6,500,80,11:20:15.930885,11:20:16.447306,0 days 00:00:00.516421
46,7,500,80,11:20:19.480963,11:20:19.991372,0 days 00:00:00.510409
47,8,500,80,11:20:23.018436,11:20:23.529917,0 days 00:00:00.511481
48,9,500,80,11:20:26.563304,11:20:27.072761,0 days 00:00:00.509457
49,10,500,80,11:20:30.115780,11:20:30.631828,0 days 00:00:00.516048
50,1,500,100,11:20:33.662935,11:20:34.175712,0 days 00:00:00.512777
51,2,500,100,11:20:37.205951,11:20:37.707046,0 days 00:00:00.501095
52,3,500,100,11:20:40.729141,11:20:41.231144,0 days 00:00:00.502003
53,4,500,100,11:20:44.262275,11:20:44.771771,0 days 00:00:00.509496
54,5,500,100,11:20:47.798489,11:20:48.311642,0 days 00:00:00.513153
55,6,500,100,11:20:51.345351,11:20:51.855418,0 days 00:00:00.510067
56,7,500,100,11:20:54.888310,11:20:55.389168,0 days 00:00:00.500858
57,8,500,100,11:20:58.412436,11:20:58.928317,0 days 00:00:00.515881
58,9,500,100,11:21:01.961485,11:21:02.478271,0 days 00:00:00.516786
59,10,500,100,11:21:05.511355,11:21:06.020900,0 days 00:00:00.509545
