,Repetition,ON duration (ms),Laser Power (mW),Turn ON Laser Time,Turn OFF Laser Time,Turn ON Laser Time (ms)
0,1,500,0,14:03:04.760715,14:03:05.280498,0 days 00:00:00.519783
1,2,500,0,14:03:08.310237,14:03:08.816399,0 days 00:00:00.506162
2,3,500,0,14:03:11.840244,14:03:12.343577,0 days 00:00:00.503333
3,4,500,0,14:03:15.382765,14:03:15.889555,0 days 00:00:00.506790
4,5,500,0,14:03:18.925864,14:03:19.429653,0 days 00:00:00.503789
5,6,500,0,14:03:22.455907,14:03:22.969822,0 days 00:00:00.513915
6,7,500,0,14:03:25.995814,14:03:26.499228,0 days 00:00:00.503414
7,8,500,0,14:03:29.525862,14:03:30.030133,0 days 00:00:00.504271
8,9,500,0,14:03:33.055787,14:03:33.563394,0 days 00:00:00.507607
9,10,500,0,14:03:36.590192,14:03:37.095221,0 days 00:00:00.505029
10,1,500,20,14:03:40.121175,14:03:40.628232,0 days 00:00:00.507057
11,2,500,20,14:03:43.668522,14:03:44.171097,0 days 00:00:00.502575
12,3,500,20,14:03:47.195081,14:03:47.698647,0 days 00:00:00.503566
13,4,500,20,14:03:50.724944,14:03:51.231386,0 days 00:00:00.506442
14,5,500,20,14:03:54.257236,14:03:54.771221,0 days 00:00:00.513985
15,6,500,20,14:03:57.808255,14:03:58.317824,0 days 00:00:00.509569
16,7,500,20,14:04:01.353102,14:04:01.861412,0 days 00:00:00.508310
17,8,500,20,14:04:04.883320,14:04:05.390045,0 days 00:00:00.506725
18,9,500,20,14:04:08.424876,14:04:08.933998,0 days 00:00:00.509122
19,10,500,20,14:04:11.973982,14:04:12.483628,0 days 00:00:00.509646
20,1,500,40,14:04:15.514087,14:04:16.023792,0 days 00:00:00.509705
21,2,500,40,14:04:19.057131,14:04:19.566621,0 days 00:00:00.509490
22,3,500,40,14:04:22.590202,14:04:23.099867,0 days 00:00:00.509665
23,4,500,40,14:04:26.123614,14:04:26.626381,0 days 00:00:00.502767
24,5,500,40,14:04:29.656454,14:04:30.173750,0 days 00:00:00.517296
25,6,500,40,14:04:33.209211,14:04:33.718100,0 days 00:00:00.508889
26,7,500,40,14:04:36.739922,14:04:37.256643,0 days 00:00:00.516721
27,8,500,40,14:04:40.290072,14:04:40.799689,0 days 00:00:00.509617
28,9,500,40,14:04:43.838944,14:04:44.349139,0 days 00:00:00.510195
29,10,500,40,14:04:47.388980,14:04:47.898719,0 days 00:00:00.509739
30,1,500,60,14:04:50.925237,14:04:51.431724,0 days 00:00:00.506487
31,2,500,60,14:04:54.457709,14:04:54.965055,0 days 00:00:00.507346
32,3,500,60,14:04:57.990700,14:04:58.497875,0 days 00:00:00.507175
33,4,500,60,14:05:01.537988,14:05:02.054198,0 days 00:00:00.516210
34,5,500,60,14:05:05.087879,14:05:05.598898,0 days 00:00:00.511019
35,6,500,60,14:05:08.621577,14:05:09.131040,0 days 00:00:00.509463
36,7,500,60,14:05:12.154330,14:05:12.664824,0 days 00:00:00.510494
37,8,500,60,14:05:15.704012,14:05:16.213402,0 days 00:00:00.509390
38,9,500,60,14:05:19.237415,14:05:19.747799,0 days 00:00:00.510384
39,10,500,60,14:05:22.781484,14:05:23.289262,0 days 00:00:00.507778
40,1,500,80,14:05:26.313280,14:05:26.819882,0 days 00:00:00.506602
41,2,500,80,14:05:29.853011,14:05:30.353223,0 days 00:00:00.500212
42,3,500,80,14:05:33.391006,14:05:33.897898,0 days 00:00:00.506892
43,4,500,80,14:05:36.921770,14:05:37.429348,0 days 00:00:00.507578
44,5,500,80,14:05:40.471596,14:05:40.979942,0 days 00:00:00.508346
45,6,500,80,14:05:44.019329,14:05:44.524181,0 days 00:00:00.504852
46,7,500,80,14:05:47.552355,14:05:48.061953,0 days 00:00:00.509598
47,8,500,80,14:05:51.091779,14:05:51.594832,0 days 00:00:00.503053
48,9,500,80,14:05:54.623652,14:05:55.127507,0 days 00:00:00.503855
49,10,500,80,14:05:58.150953,14:05:58.654041,0 days 00:00:00.503088
50,1,500,100,14:06:01.687664,14:06:02.195655,0 days 00:00:00.507991
51,2,500,100,14:06:05.224016,14:06:05.727025,0 days 00:00:00.503009
52,3,500,100,14:06:08.751603,14:06:09.260844,0 days 00:00:00.509241
53,4,500,100,14:06:12.294091,14:06:12.805457,0 days 00:00:00.511366
54,5,500,100,14:06:15.834153,14:06:16.344415,0 days 00:00:00.510262
55,6,500,100,14:06:19.384561,14:06:19.893257,0 days 00:00:00.508696
56,7,500,100,14:06:22.917186,14:06:23.426804,0 days 00:00:00.509618
57,8,500,100,14:06:26.453257,14:06:26.960144,0 days 00:00:00.506887
58,9,500,100,14:06:29.986345,14:06:30.493476,0 days 00:00:00.507131
59,10,500,100,14:06:33.536609,14:06:34.042989,0 days 00:00:00.506380
