,Repetition,ON duration (ms),Laser Power (mW),Turn ON Laser Time,Turn OFF Laser Time,Turn ON Laser Time (ms)
0,1,500,0,10:57:39.710979,10:57:40.226949,0 days 00:00:00.515970
1,2,500,0,10:57:43.246924,10:57:43.754788,0 days 00:00:00.507864
2,3,500,0,10:57:46.780888,10:57:47.285850,0 days 00:00:00.504962
3,4,500,0,10:57:50.316993,10:57:50.825709,0 days 00:00:00.508716
4,5,500,0,10:57:53.849495,10:57:54.352312,0 days 00:00:00.502817
5,6,500,0,10:57:57.375743,10:57:57.883792,0 days 00:00:00.508049
6,7,500,0,10:58:00.905725,10:58:01.409204,0 days 00:00:00.503479
7,8,500,0,10:58:04.441509,10:58:04.948128,0 days 00:00:00.506619
8,9,500,0,10:58:07.969242,10:58:08.475082,0 days 00:00:00.505840
9,10,500,0,10:58:11.494746,10:58:12.001576,0 days 00:00:00.506830
10,1,500,20,10:58:15.037699,10:58:15.546008,0 days 00:00:00.508309
11,2,500,20,10:58:18.580691,10:58:19.088398,0 days 00:00:00.507707
12,3,500,20,10:58:22.111761,10:58:22.627417,0 days 00:00:00.515656
13,4,500,20,10:58:25.664246,10:58:26.165471,0 days 00:00:00.501225
14,5,500,20,10:58:29.187582,10:58:29.693089,0 days 00:00:00.505507
15,6,500,20,10:58:32.713781,10:58:33.227949,0 days 00:00:00.514168
16,7,500,20,10:58:36.260573,10:58:36.767303,0 days 00:00:00.506730
17,8,500,20,10:58:39.794918,10:58:40.300450,0 days 00:00:00.505532
18,9,500,20,10:58:43.330126,10:58:43.839709,0 days 00:00:00.509583
19,10,500,20,10:58:46.880175,10:58:47.389568,0 days 00:00:00.509393
20,1,500,40,10:58:50.413215,10:58:50.924234,0 days 00:00:00.511019
21,2,500,40,10:58:53.966590,10:58:54.479478,0 days 00:00:00.512888
22,3,500,40,10:58:57.512799,10:58:58.015718,0 days 00:00:00.502919
23,4,500,40,10:59:01.045928,10:59:01.549412,0 days 00:00:00.503484
24,5,500,40,10:59:04.575870,10:59:05.079536,0 days 00:00:00.503666
25,6,500,40,10:59:08.112479,10:59:08.628911,0 days 00:00:00.516432
26,7,500,40,10:59:11.655484,10:59:12.173997,0 days 00:00:00.518513
27,8,500,40,10:59:15.195689,10:59:15.728610,0 days 00:00:00.532921
28,9,500,40,10:59:18.755039,10:59:19.274676,0 days 00:00:00.519637
29,10,500,40,10:59:22.311599,10:59:22.828669,0 days 00:00:00.517070
30,1,500,60,10:59:25.864863,10:59:26.373880,0 days 00:00:00.509017
31,2,500,60,10:59:29.411122,10:59:29.920653,0 days 00:00:00.509531
32,3,500,60,10:59:32.963787,10:59:33.472591,0 days 00:00:00.508804
33,4,500,60,10:59:36.510718,10:59:37.013728,0 days 00:00:00.503010
34,5,500,60,10:59:40.043931,10:59:40.549580,0 days 00:00:00.505649
35,6,500,60,10:59:43.577102,10:59:44.086506,0 days 00:00:00.509404
36,7,500,60,10:59:47.126999,10:59:47.636503,0 days 00:00:00.509504
37,8,500,60,10:59:50.676574,10:59:51.186226,0 days 00:00:00.509652
38,9,500,60,10:59:54.209929,10:59:54.720189,0 days 00:00:00.510260
39,10,500,60,10:59:57.763339,10:59:58.270466,0 days 00:00:00.507127
40,1,500,80,11:00:01.302928,11:00:01.829071,0 days 00:00:00.526143
41,2,500,80,11:00:04.857927,11:00:05.363029,0 days 00:00:00.505102
42,3,500,80,11:00:08.392508,11:00:08.902365,0 days 00:00:00.509857
43,4,500,80,11:00:11.934977,11:00:12.443082,0 days 00:00:00.508105
44,5,500,80,11:00:15.468155,11:00:15.968325,0 days 00:00:00.500170
45,6,500,80,11:00:19.008767,11:00:19.524712,0 days 00:00:00.515945
46,7,500,80,11:00:22.558871,11:00:23.075002,0 days 00:00:00.516131
47,8,500,80,11:00:26.108004,11:00:26.624341,0 days 00:00:00.516337
48,9,500,80,11:00:29.658174,11:00:30.168710,0 days 00:00:00.510536
49,10,500,80,11:00:33.209564,11:00:33.717364,0 days 00:00:00.507800
50,1,500,100,11:00:36.762175,11:00:37.266809,0 days 00:00:00.504634
51,2,500,100,11:00:40.290623,11:00:40.806918,0 days 00:00:00.516295
52,3,500,100,11:00:43.851234,11:00:44.358085,0 days 00:00:00.506851
53,4,500,100,11:00:47.391964,11:00:47.899866,0 days 00:00:00.507902
54,5,500,100,11:00:50.924850,11:00:51.433028,0 days 00:00:00.508178
55,6,500,100,11:00:54.473144,11:00:54.982860,0 days 00:00:00.509716
56,7,500,100,11:00:58.023077,11:00:58.532633,0 days 00:00:00.509556
57,8,500,100,11:01:01.556285,11:01:02.067457,0 days 00:00:00.511172
58,9,500,100,11:01:05.089399,11:01:05.592000,0 days 00:00:00.502601
59,10,500,100,11:01:08.622754,11:01:09.132442,0 days 00:00:00.509688
