,Repetition,ON duration (ms),Laser Power (mW),Turn ON Laser Time,Turn OFF Laser Time,Turn ON Laser Time (ms)
0,1,500,0,11:28:51.661591,11:28:52.170425,0 days 00:00:00.508834
1,2,500,0,11:28:55.200458,11:28:55.713609,0 days 00:00:00.513151
2,3,500,0,11:28:58.743333,11:28:59.249113,0 days 00:00:00.505780
3,4,500,0,11:29:02.283988,11:29:02.793291,0 days 00:00:00.509303
4,5,500,0,11:29:05.817277,11:29:06.326253,0 days 00:00:00.508976
5,6,500,0,11:29:09.366866,11:29:09.884664,0 days 00:00:00.517798
6,7,500,0,11:29:12.916332,11:29:13.417023,0 days 00:00:00.500691
7,8,500,0,11:29:16.449473,11:29:16.953969,0 days 00:00:00.504496
8,9,500,0,11:29:19.982696,11:29:20.501985,0 days 00:00:00.519289
9,10,500,0,11:29:23.542139,11:29:24.042403,0 days 00:00:00.500264
10,1,500,20,11:29:27.075573,11:29:27.587893,0 days 00:00:00.512320
11,2,500,20,11:29:30.615764,11:29:31.116406,0 days 00:00:00.500642
12,3,500,20,11:29:34.148542,11:29:34.658510,0 days 00:00:00.509968
13,4,500,20,11:29:37.681836,11:29:38.191323,0 days 00:00:00.509487
14,5,500,20,11:29:41.233043,11:29:41.741205,0 days 00:00:00.508162
15,6,500,20,11:29:44.791538,11:29:45.300969,0 days 00:00:00.509431
16,7,500,20,11:29:48.331213,11:29:48.848081,0 days 00:00:00.516868
17,8,500,20,11:29:51.890579,11:29:52.390664,0 days 00:00:00.500085
18,9,500,20,11:29:55.432233,11:29:55.940625,0 days 00:00:00.508392
19,10,500,20,11:29:58.984189,11:29:59.492297,0 days 00:00:00.508108
20,1,500,40,11:30:02.523929,11:30:03.040172,0 days 00:00:00.516243
21,2,500,40,11:30:06.082909,11:30:06.592682,0 days 00:00:00.509773
22,3,500,40,11:30:09.616628,11:30:10.123537,0 days 00:00:00.506909
23,4,500,40,11:30:13.165717,11:30:13.672632,0 days 00:00:00.506915
24,5,500,40,11:30:16.696262,11:30:17.205535,0 days 00:00:00.509273
25,6,500,40,11:30:20.229317,11:30:20.739704,0 days 00:00:00.510387
26,7,500,40,11:30:23.788426,11:30:24.296158,0 days 00:00:00.507732
27,8,500,40,11:30:27.329063,11:30:27.839085,0 days 00:00:00.510022
28,9,500,40,11:30:30.881781,11:30:31.390854,0 days 00:00:00.509073
29,10,500,40,11:30:34.431161,11:30:34.939724,0 days 00:00:00.508563
30,1,500,60,11:30:37.986820,11:30:38.505357,0 days 00:00:00.518537
31,2,500,60,11:30:41.545375,11:30:42.054655,0 days 00:00:00.509280
32,3,500,60,11:30:45.098278,11:30:45.604834,0 days 00:00:00.506556
33,4,500,60,11:30:48.637949,11:30:49.154140,0 days 00:00:00.516191
34,5,500,60,11:30:52.195303,11:30:52.704348,0 days 00:00:00.509045
35,6,500,60,11:30:55.744483,11:30:56.255221,0 days 00:00:00.510738
36,7,500,60,11:30:59.294071,11:30:59.794091,0 days 00:00:00.500020
37,8,500,60,11:31:02.827237,11:31:03.337183,0 days 00:00:00.509946
38,9,500,60,11:31:06.370240,11:31:06.886590,0 days 00:00:00.516350
39,10,500,60,11:31:09.910122,11:31:10.419622,0 days 00:00:00.509500
40,1,500,80,11:31:13.443464,11:31:13.953613,0 days 00:00:00.510149
41,2,500,80,11:31:16.993598,11:31:17.502865,0 days 00:00:00.509267
42,3,500,80,11:31:20.526466,11:31:21.029648,0 days 00:00:00.503182
43,4,500,80,11:31:24.059426,11:31:24.568981,0 days 00:00:00.509555
44,5,500,80,11:31:27.609283,11:31:28.120065,0 days 00:00:00.510782
45,6,500,80,11:31:31.159076,11:31:31.668707,0 days 00:00:00.509631
46,7,500,80,11:31:34.692150,11:31:35.202099,0 days 00:00:00.509949
47,8,500,80,11:31:38.243531,11:31:38.752779,0 days 00:00:00.509248
48,9,500,80,11:31:41.791459,11:31:42.301706,0 days 00:00:00.510247
49,10,500,80,11:31:45.343097,11:31:45.851522,0 days 00:00:00.508425
50,1,500,100,11:31:48.901110,11:31:49.408180,0 days 00:00:00.507070
51,2,500,100,11:31:52.441317,11:31:52.951582,0 days 00:00:00.510265
52,3,500,100,11:31:55.991268,11:31:56.500779,0 days 00:00:00.509511
53,4,500,100,11:31:59.525937,11:32:00.034129,0 days 00:00:00.508192
54,5,500,100,11:32:03.073844,11:32:03.584049,0 days 00:00:00.510205
55,6,500,100,11:32:06.623697,11:32:07.133410,0 days 00:00:00.509713
56,7,500,100,11:32:10.157081,11:32:10.666752,0 days 00:00:00.509671
57,8,500,100,11:32:13.690345,11:32:14.200019,0 days 00:00:00.509674
58,9,500,100,11:32:17.241447,11:32:17.753066,0 days 00:00:00.511619
59,10,500,100,11:32:20.793151,11:32:21.300751,0 days 00:00:00.507600
