,Repetition,ON duration (ms),Laser Power (mW),Turn ON Laser Time,Turn OFF Laser Time,Turn ON Laser Time (ms)
0,1,100,0,14:03:32.436841,14:03:32.545647,0 days 00:00:00.108806
1,2,100,0,14:03:35.571028,14:03:35.680902,0 days 00:00:00.109874
2,3,100,0,14:03:38.714815,14:03:38.815239,0 days 00:00:00.100424
3,4,100,0,14:03:41.841010,14:03:41.950586,0 days 00:00:00.109576
4,5,100,0,14:03:44.990767,14:03:45.107413,0 days 00:00:00.116646
5,6,100,0,14:03:48.140683,14:03:48.250021,0 days 00:00:00.109338
6,7,100,0,14:03:51.284393,14:03:51.400062,0 days 00:00:00.115669
7,8,100,0,14:03:54.436881,14:03:54.550681,0 days 00:00:00.113800
8,9,100,0,14:03:57.590681,14:03:57.708190,0 days 00:00:00.117509
9,10,100,0,14:04:00.739911,14:04:00.850073,0 days 00:00:00.110162
10,1,100,20,14:04:03.889733,14:04:03.999968,0 days 00:00:00.110235
11,2,100,20,14:04:07.026493,14:04:07.131452,0 days 00:00:00.104959
12,3,100,20,14:04:10.156154,14:04:10.265667,0 days 00:00:00.109513
13,4,100,20,14:04:13.305984,14:04:13.415571,0 days 00:00:00.109587
14,5,100,20,14:04:16.439485,14:04:16.549337,0 days 00:00:00.109852
15,6,100,20,14:04:19.572631,14:04:19.681702,0 days 00:00:00.109071
16,7,100,20,14:04:22.735817,14:04:22.838724,0 days 00:00:00.102907
17,8,100,20,14:04:25.872143,14:04:25.981671,0 days 00:00:00.109528
18,9,100,20,14:04:29.029390,14:04:29.133562,0 days 00:00:00.104172
19,10,100,20,14:04:32.172360,14:04:32.281054,0 days 00:00:00.108694
20,1,100,40,14:04:35.334305,14:04:35.438289,0 days 00:00:00.103984
21,2,100,40,14:04:38.471258,14:04:38.581022,0 days 00:00:00.109764
22,3,100,40,14:04:41.624962,14:04:41.730680,0 days 00:00:00.105718
23,4,100,40,14:04:44.754264,14:04:44.858904,0 days 00:00:00.104640
24,5,100,40,14:04:47.887469,14:04:47.997265,0 days 00:00:00.109796
25,6,100,40,14:04:51.030597,14:04:51.146705,0 days 00:00:00.116108
26,7,100,40,14:04:54.180268,14:04:54.281450,0 days 00:00:00.101182
27,8,100,40,14:04:57.314613,14:04:57.430056,0 days 00:00:00.115443
28,9,100,40,14:05:00.473584,14:05:00.579912,0 days 00:00:00.106328
29,10,100,40,14:05:03.613104,14:05:03.719273,0 days 00:00:00.106169
30,1,100,60,14:05:06.756721,14:05:06.862867,0 days 00:00:00.106146
31,2,100,60,14:05:09.887090,14:05:09.995932,0 days 00:00:00.108842
32,3,100,60,14:05:13.019607,14:05:13.129318,0 days 00:00:00.109711
33,4,100,60,14:05:16.162308,14:05:16.269647,0 days 00:00:00.107339
34,5,100,60,14:05:19.303295,14:05:19.412905,0 days 00:00:00.109610
35,6,100,60,14:05:22.435660,14:05:22.545335,0 days 00:00:00.109675
36,7,100,60,14:05:25.569194,14:05:25.679242,0 days 00:00:00.110048
37,8,100,60,14:05:28.719030,14:05:28.830185,0 days 00:00:00.111155
38,9,100,60,14:05:31.868688,14:05:31.978160,0 days 00:00:00.109472
39,10,100,60,14:05:35.018440,14:05:35.127816,0 days 00:00:00.109376
40,1,100,80,14:05:38.151517,14:05:38.261433,0 days 00:00:00.109916
41,2,100,80,14:05:41.287208,14:05:41.390147,0 days 00:00:00.102939
42,3,100,80,14:05:44.417822,14:05:44.527422,0 days 00:00:00.109600
43,4,100,80,14:05:47.551448,14:05:47.661317,0 days 00:00:00.109869
44,5,100,80,14:05:50.701743,14:05:50.810763,0 days 00:00:00.109020
45,6,100,80,14:05:53.843936,14:05:53.960276,0 days 00:00:00.116340
46,7,100,80,14:05:57.000440,14:05:57.110143,0 days 00:00:00.109703
47,8,100,80,14:06:00.134095,14:06:00.244144,0 days 00:00:00.110049
48,9,100,80,14:06:03.276388,14:06:03.376981,0 days 00:00:00.100593
49,10,100,80,14:06:06.405270,14:06:06.515974,0 days 00:00:00.110704
50,1,100,100,14:06:09.550006,14:06:09.659881,0 days 00:00:00.109875
51,2,100,100,14:06:12.683007,14:06:12.792965,0 days 00:00:00.109958
52,3,100,100,14:06:15.832960,14:06:15.933132,0 days 00:00:00.100172
53,4,100,100,14:06:18.966287,14:06:19.071243,0 days 00:00:00.104956
54,5,100,100,14:06:22.108796,14:06:22.209712,0 days 00:00:00.100916
55,6,100,100,14:06:25.229968,14:06:25.339351,0 days 00:00:00.109383
56,7,100,100,14:06:28.371493,14:06:28.480861,0 days 00:00:00.109368
57,8,100,100,14:06:31.515041,14:06:31.621753,0 days 00:00:00.106712
58,9,100,100,14:06:34.651146,14:06:34.758042,0 days 00:00:00.106896
59,10,100,100,14:06:37.786302,14:06:37.895593,0 days 00:00:00.109291
