,Repetition,ON duration (ms),Laser Power (mW),Turn ON Laser Time,Turn OFF Laser Time,Turn ON Laser Time (ms)
0,1,200,0,14:15:22.596905,14:15:22.809026,0 days 00:00:00.212121
1,2,200,0,14:15:25.835577,14:15:26.057869,0 days 00:00:00.222292
2,3,200,0,14:15:29.096762,14:15:29.307341,0 days 00:00:00.210579
3,4,200,0,14:15:32.336469,14:15:32.543204,0 days 00:00:00.206735
4,5,200,0,14:15:35.567232,14:15:35.776256,0 days 00:00:00.209024
5,6,200,0,14:15:38.805702,14:15:39.013683,0 days 00:00:00.207981
6,7,200,0,14:15:42.039728,14:15:42.246176,0 days 00:00:00.206448
7,8,200,0,14:15:45.272648,14:15:45.479955,0 days 00:00:00.207307
8,9,200,0,14:15:48.515477,14:15:48.726325,0 days 00:00:00.210848
9,10,200,0,14:15:51.752695,14:15:51.954553,0 days 00:00:00.201858
10,1,200,20,14:15:54.979691,14:15:55.182343,0 days 00:00:00.202652
11,2,200,20,14:15:58.209408,14:15:58.418265,0 days 00:00:00.208857
12,3,200,20,14:16:01.451343,14:16:01.656768,0 days 00:00:00.205425
13,4,200,20,14:16:04.697172,14:16:04.901983,0 days 00:00:00.204811
14,5,200,20,14:16:07.931598,14:16:08.138527,0 days 00:00:00.206929
15,6,200,20,14:16:11.166348,14:16:11.374400,0 days 00:00:00.208052
16,7,200,20,14:16:14.397932,14:16:14.601510,0 days 00:00:00.203578
17,8,200,20,14:16:17.623855,14:16:17.830749,0 days 00:00:00.206894
18,9,200,20,14:16:20.857282,14:16:21.058078,0 days 00:00:00.200796
19,10,200,20,14:16:24.093733,14:16:24.302992,0 days 00:00:00.209259
20,1,200,40,14:16:27.327110,14:16:27.550865,0 days 00:00:00.223755
21,2,200,40,14:16:30.583764,14:16:30.792980,0 days 00:00:00.209216
22,3,200,40,14:16:33.833438,14:16:34.034123,0 days 00:00:00.200685
23,4,200,40,14:16:37.068899,14:16:37.269746,0 days 00:00:00.200847
24,5,200,40,14:16:40.303624,14:16:40.516693,0 days 00:00:00.213069
25,6,200,40,14:16:43.549571,14:16:43.762376,0 days 00:00:00.212805
26,7,200,40,14:16:46.782861,14:16:46.992534,0 days 00:00:00.209673
27,8,200,40,14:16:50.032349,14:16:50.246079,0 days 00:00:00.213730
28,9,200,40,14:16:53.282391,14:16:53.491688,0 days 00:00:00.209297
29,10,200,40,14:16:56.515646,14:16:56.729363,0 days 00:00:00.213717
30,1,200,60,14:16:59.767933,14:16:59.973312,0 days 00:00:00.205379
31,2,200,60,14:17:03.008236,14:17:03.215118,0 days 00:00:00.206882
32,3,200,60,14:17:06.248327,14:17:06.462203,0 days 00:00:00.213876
33,4,200,60,14:17:09.504631,14:17:09.716147,0 days 00:00:00.211516
34,5,200,60,14:17:12.748697,14:17:12.960438,0 days 00:00:00.211741
35,6,200,60,14:17:15.980916,14:17:16.190651,0 days 00:00:00.209735
36,7,200,60,14:17:19.233192,14:17:19.445023,0 days 00:00:00.211831
37,8,200,60,14:17:22.480673,14:17:22.690368,0 days 00:00:00.209695
38,9,200,60,14:17:25.730859,14:17:25.940285,0 days 00:00:00.209426
39,10,200,60,14:17:28.980381,14:17:29.196787,0 days 00:00:00.216406
40,1,200,80,14:17:32.230312,14:17:32.439662,0 days 00:00:00.209350
41,2,200,80,14:17:35.480008,14:17:35.689741,0 days 00:00:00.209733
42,3,200,80,14:17:38.713262,14:17:38.923092,0 days 00:00:00.209830
43,4,200,80,14:17:41.962907,14:17:42.172309,0 days 00:00:00.209402
44,5,200,80,14:17:45.215156,14:17:45.422242,0 days 00:00:00.207086
45,6,200,80,14:17:48.462450,14:17:48.668192,0 days 00:00:00.205742
46,7,200,80,14:17:51.705451,14:17:51.925614,0 days 00:00:00.220163
47,8,200,80,14:17:54.962395,14:17:55.171814,0 days 00:00:00.209419
48,9,200,80,14:17:58.212503,14:17:58.421940,0 days 00:00:00.209437
49,10,200,80,14:18:01.461904,14:18:01.678701,0 days 00:00:00.216797
50,1,200,100,14:18:04.711861,14:18:04.912149,0 days 00:00:00.200288
51,2,200,100,14:18:07.947778,14:18:08.157592,0 days 00:00:00.209814
52,3,200,100,14:18:11.187743,14:18:11.408330,0 days 00:00:00.220587
53,4,200,100,14:18:14.447403,14:18:14.657534,0 days 00:00:00.210131
54,5,200,100,14:18:17.687547,14:18:17.895809,0 days 00:00:00.208262
55,6,200,100,14:18:20.927512,14:18:21.137329,0 days 00:00:00.209817
56,7,200,100,14:18:24.177379,14:18:24.387822,0 days 00:00:00.210443
57,8,200,100,14:18:27.420272,14:18:27.640667,0 days 00:00:00.220395
58,9,200,100,14:18:30.678149,14:18:30.886854,0 days 00:00:00.208705
59,10,200,100,14:18:33.913253,14:18:34.120866,0 days 00:00:00.207613
