,Repetition,ON duration (ms),Laser Power (mW),Turn ON Laser Time,Turn OFF Laser Time,Turn ON Laser Time (ms)
0,1,200,0,10:35:07.082302,10:35:07.286802,0 days 00:00:00.204500
1,2,200,0,10:35:10.321065,10:35:10.522522,0 days 00:00:00.201457
2,3,200,0,10:35:13.548550,10:35:13.757600,0 days 00:00:00.209050
3,4,200,0,10:35:16.785417,10:35:16.987694,0 days 00:00:00.202277
4,5,200,0,10:35:20.010915,10:35:20.217992,0 days 00:00:00.207077
5,6,200,0,10:35:23.251144,10:35:23.461031,0 days 00:00:00.209887
6,7,200,0,10:35:26.501198,10:35:26.710510,0 days 00:00:00.209312
7,8,200,0,10:35:29.734304,10:35:29.937590,0 days 00:00:00.203286
8,9,200,0,10:35:32.967310,10:35:33.182637,0 days 00:00:00.215327
9,10,200,0,10:35:36.217081,10:35:36.430063,0 days 00:00:00.212982
10,1,200,20,10:35:39.472303,10:35:39.683255,0 days 00:00:00.210952
11,2,200,20,10:35:42.717229,10:35:42.936249,0 days 00:00:00.219020
12,3,200,20,10:35:45.966568,10:35:46.180519,0 days 00:00:00.213951
13,4,200,20,10:35:49.217963,10:35:49.434456,0 days 00:00:00.216493
14,5,200,20,10:35:52.466693,10:35:52.675846,0 days 00:00:00.209153
15,6,200,20,10:35:55.699741,10:35:55.908812,0 days 00:00:00.209071
16,7,200,20,10:35:58.942134,10:35:59.143078,0 days 00:00:00.200944
17,8,200,20,10:36:02.190931,10:36:02.401189,0 days 00:00:00.210258
18,9,200,20,10:36:05.432292,10:36:05.635213,0 days 00:00:00.202921
19,10,200,20,10:36:08.665605,10:36:08.875141,0 days 00:00:00.209536
20,1,200,40,10:36:11.915121,10:36:12.124808,0 days 00:00:00.209687
21,2,200,40,10:36:15.159055,10:36:15.364481,0 days 00:00:00.205426
22,3,200,40,10:36:18.397640,10:36:18.611609,0 days 00:00:00.213969
23,4,200,40,10:36:21.650501,10:36:21.861495,0 days 00:00:00.210994
24,5,200,40,10:36:24.897916,10:36:25.107611,0 days 00:00:00.209695
25,6,200,40,10:36:28.147826,10:36:28.357543,0 days 00:00:00.209717
26,7,200,40,10:36:31.397601,10:36:31.607047,0 days 00:00:00.209446
27,8,200,40,10:36:34.649772,10:36:34.856393,0 days 00:00:00.206621
28,9,200,40,10:36:37.890278,10:36:38.096562,0 days 00:00:00.206284
29,10,200,40,10:36:41.130457,10:36:41.340196,0 days 00:00:00.209739
30,1,200,60,10:36:44.366831,10:36:44.573241,0 days 00:00:00.206410
31,2,200,60,10:36:47.613238,10:36:47.822983,0 days 00:00:00.209745
32,3,200,60,10:36:50.846993,10:36:51.056521,0 days 00:00:00.209528
33,4,200,60,10:36:54.095638,10:36:54.309914,0 days 00:00:00.214276
34,5,200,60,10:36:57.346697,10:36:57.549447,0 days 00:00:00.202750
35,6,200,60,10:37:00.579395,10:37:00.788718,0 days 00:00:00.209323
36,7,200,60,10:37:03.829189,10:37:04.032161,0 days 00:00:00.202972
37,8,200,60,10:37:07.062653,10:37:07.281242,0 days 00:00:00.218589
38,9,200,60,10:37:10.312080,10:37:10.525662,0 days 00:00:00.213582
39,10,200,60,10:37:13.555831,10:37:13.761309,0 days 00:00:00.205478
40,1,200,80,10:37:16.788902,10:37:17.004878,0 days 00:00:00.215976
41,2,200,80,10:37:20.044994,10:37:20.258348,0 days 00:00:00.213354
42,3,200,80,10:37:23.289207,10:37:23.489209,0 days 00:00:00.200002
43,4,200,80,10:37:26.519197,10:37:26.719202,0 days 00:00:00.200005
44,5,200,80,10:37:29.742858,10:37:29.952836,0 days 00:00:00.209978
45,6,200,80,10:37:32.972837,10:37:33.182839,0 days 00:00:00.210002
46,7,200,80,10:37:36.205575,10:37:36.415574,0 days 00:00:00.209999
47,8,200,80,10:37:39.438592,10:37:39.648588,0 days 00:00:00.209996
48,9,200,80,10:37:42.678590,10:37:42.878609,0 days 00:00:00.200019
49,10,200,80,10:37:45.902683,10:37:46.112618,0 days 00:00:00.209935
50,1,200,100,10:37:49.139036,10:37:49.339044,0 days 00:00:00.200008
51,2,200,100,10:37:52.369034,10:37:52.579032,0 days 00:00:00.209998
52,3,200,100,10:37:55.600338,10:37:55.800338,0 days 00:00:00.200000
53,4,200,100,10:37:58.822463,10:37:59.023403,0 days 00:00:00.200940
54,5,200,100,10:38:02.059346,10:38:02.277126,0 days 00:00:00.217780
55,6,200,100,10:38:05.309514,10:38:05.524053,0 days 00:00:00.214539
56,7,200,100,10:38:08.558697,10:38:08.762255,0 days 00:00:00.203558
57,8,200,100,10:38:11.792035,10:38:12.005956,0 days 00:00:00.213921
58,9,200,100,10:38:15.042112,10:38:15.251659,0 days 00:00:00.209547
59,10,200,100,10:38:18.294535,10:38:18.501280,0 days 00:00:00.206745
