,Repetition,ON duration (ms),Laser Power (mW),Turn ON Laser Time,Turn OFF Laser Time,Turn ON Laser Time (ms)
0,1,200,0,10:39:32.206765,10:39:32.414050,0 days 00:00:00.207285
1,2,200,0,10:39:35.435773,10:39:35.650771,0 days 00:00:00.214998
2,3,200,0,10:39:38.683598,10:39:38.893937,0 days 00:00:00.210339
3,4,200,0,10:39:41.915154,10:39:42.119696,0 days 00:00:00.204542
4,5,200,0,10:39:45.156301,10:39:45.372797,0 days 00:00:00.216496
5,6,200,0,10:39:48.403692,10:39:48.622143,0 days 00:00:00.218451
6,7,200,0,10:39:51.646217,10:39:51.853437,0 days 00:00:00.207220
7,8,200,0,10:39:54.894513,10:39:55.099472,0 days 00:00:00.204959
8,9,200,0,10:39:58.119563,10:39:58.329591,0 days 00:00:00.210028
9,10,200,0,10:40:01.352802,10:40:01.569352,0 days 00:00:00.216550
10,1,200,20,10:40:04.605748,10:40:04.816351,0 days 00:00:00.210603
11,2,200,20,10:40:07.846373,10:40:08.059687,0 days 00:00:00.213314
12,3,200,20,10:40:11.094510,10:40:11.316571,0 days 00:00:00.222061
13,4,200,20,10:40:14.352243,10:40:14.561596,0 days 00:00:00.209353
14,5,200,20,10:40:17.602102,10:40:17.811557,0 days 00:00:00.209455
15,6,200,20,10:40:20.855313,10:40:21.072667,0 days 00:00:00.217354
16,7,200,20,10:40:24.101598,10:40:24.311184,0 days 00:00:00.209586
17,8,200,20,10:40:27.334823,10:40:27.544713,0 days 00:00:00.209890
18,9,200,20,10:40:30.577807,10:40:30.796695,0 days 00:00:00.218888
19,10,200,20,10:40:33.834409,10:40:34.044256,0 days 00:00:00.209847
20,1,200,40,10:40:37.067441,10:40:37.277436,0 days 00:00:00.209995
21,2,200,40,10:40:40.317375,10:40:40.527416,0 days 00:00:00.210041
22,3,200,40,10:40:43.576877,10:40:43.784841,0 days 00:00:00.207964
23,4,200,40,10:40:46.810308,10:40:47.016913,0 days 00:00:00.206605
24,5,200,40,10:40:50.050291,10:40:50.260084,0 days 00:00:00.209793
25,6,200,40,10:40:53.299987,10:40:53.509936,0 days 00:00:00.209949
26,7,200,40,10:40:56.552848,10:40:56.759825,0 days 00:00:00.206977
27,8,200,40,10:40:59.799811,10:41:00.016875,0 days 00:00:00.217064
28,9,200,40,10:41:03.049675,10:41:03.249720,0 days 00:00:00.200045
29,10,200,40,10:41:06.292791,10:41:06.512980,0 days 00:00:00.220189
30,1,200,60,10:41:09.548991,10:41:09.758697,0 days 00:00:00.209706
31,2,200,60,10:41:12.798901,10:41:13.008538,0 days 00:00:00.209637
32,3,200,60,10:41:16.041816,10:41:16.248726,0 days 00:00:00.206910
33,4,200,60,10:41:19.298087,10:41:19.502250,0 days 00:00:00.204163
34,5,200,60,10:41:22.531747,10:41:22.745937,0 days 00:00:00.214190
35,6,200,60,10:41:25.784989,10:41:25.998767,0 days 00:00:00.213778
36,7,200,60,10:41:29.031395,10:41:29.244521,0 days 00:00:00.213126
37,8,200,60,10:41:32.281557,10:41:32.494975,0 days 00:00:00.213418
38,9,200,60,10:41:35.533894,10:41:35.744777,0 days 00:00:00.210883
39,10,200,60,10:41:38.780817,10:41:38.983756,0 days 00:00:00.202939
40,1,200,80,10:41:42.014204,10:41:42.216913,0 days 00:00:00.202709
41,2,200,80,10:41:45.249701,10:41:45.451233,0 days 00:00:00.201532
42,3,200,80,10:41:48.480646,10:41:48.689816,0 days 00:00:00.209170
43,4,200,80,10:41:51.713695,10:41:51.923059,0 days 00:00:00.209364
44,5,200,80,10:41:54.952254,10:41:55.161732,0 days 00:00:00.209478
45,6,200,80,10:41:58.196750,10:41:58.406254,0 days 00:00:00.209504
46,7,200,80,10:42:01.448655,10:42:01.659713,0 days 00:00:00.211058
47,8,200,80,10:42:04.690054,10:42:04.906044,0 days 00:00:00.215990
48,9,200,80,10:42:07.948906,10:42:08.162350,0 days 00:00:00.213444
49,10,200,80,10:42:11.195705,10:42:11.405466,0 days 00:00:00.209761
50,1,200,100,10:42:14.448119,10:42:14.662904,0 days 00:00:00.214785
51,2,200,100,10:42:17.695778,10:42:17.905142,0 days 00:00:00.209364
52,3,200,100,10:42:20.929569,10:42:21.138369,0 days 00:00:00.208800
53,4,200,100,10:42:24.161704,10:42:24.371115,0 days 00:00:00.209411
54,5,200,100,10:42:27.395018,10:42:27.604469,0 days 00:00:00.209451
55,6,200,100,10:42:30.647493,10:42:30.857764,0 days 00:00:00.210271
56,7,200,100,10:42:33.890867,10:42:34.097197,0 days 00:00:00.206330
57,8,200,100,10:42:37.130217,10:42:37.340200,0 days 00:00:00.209983
58,9,200,100,10:42:40.360887,10:42:40.570555,0 days 00:00:00.209668
59,10,200,100,10:42:43.594964,10:42:43.795057,0 days 00:00:00.200093
