,Repetition,ON duration (ms),Laser Power (mW),Turn ON Laser Time,Turn OFF Laser Time,Turn ON Laser Time (ms)
0,1,200,0,11:51:07.809151,11:51:08.016884,0 days 00:00:00.207733
1,2,200,0,11:51:11.043010,11:51:11.251614,0 days 00:00:00.208604
2,3,200,0,11:51:14.276591,11:51:14.476605,0 days 00:00:00.200014
3,4,200,0,11:51:17.506275,11:51:17.710295,0 days 00:00:00.204020
4,5,200,0,11:51:20.739831,11:51:20.949193,0 days 00:00:00.209362
5,6,200,0,11:51:23.989618,11:51:24.203222,0 days 00:00:00.213604
6,7,200,0,11:51:27.239141,11:51:27.449539,0 days 00:00:00.210398
7,8,200,0,11:51:30.489143,11:51:30.692421,0 days 00:00:00.203278
8,9,200,0,11:51:33.717083,11:51:33.922197,0 days 00:00:00.205114
9,10,200,0,11:51:36.955492,11:51:37.164976,0 days 00:00:00.209484
10,1,200,20,11:51:40.210410,11:51:40.417926,0 days 00:00:00.207516
11,2,200,20,11:51:43.438551,11:51:43.648222,0 days 00:00:00.209671
12,3,200,20,11:51:46.688247,11:51:46.892058,0 days 00:00:00.203811
13,4,200,20,11:51:49.921537,11:51:50.131155,0 days 00:00:00.209618
14,5,200,20,11:51:53.171201,11:51:53.384368,0 days 00:00:00.213167
15,6,200,20,11:51:56.413397,11:51:56.631740,0 days 00:00:00.218343
16,7,200,20,11:51:59.654302,11:51:59.863842,0 days 00:00:00.209540
17,8,200,20,11:52:02.906080,11:52:03.116763,0 days 00:00:00.210683
18,9,200,20,11:52:06.154737,11:52:06.367756,0 days 00:00:00.213019
19,10,200,20,11:52:09.403978,11:52:09.607569,0 days 00:00:00.203591
20,1,200,40,11:52:12.637408,11:52:12.850656,0 days 00:00:00.213248
21,2,200,40,11:52:15.886759,11:52:16.100005,0 days 00:00:00.213246
22,3,200,40,11:52:19.137952,11:52:19.349978,0 days 00:00:00.212026
23,4,200,40,11:52:22.386186,11:52:22.600315,0 days 00:00:00.214129
24,5,200,40,11:52:25.636134,11:52:25.849407,0 days 00:00:00.213273
25,6,200,40,11:52:28.879051,11:52:29.086080,0 days 00:00:00.207029
26,7,200,40,11:52:32.119213,11:52:32.333073,0 days 00:00:00.213860
27,8,200,40,11:52:35.378428,11:52:35.599379,0 days 00:00:00.220951
28,9,200,40,11:52:38.635819,11:52:38.849031,0 days 00:00:00.213212
29,10,200,40,11:52:41.887725,11:52:42.098314,0 days 00:00:00.210589
30,1,200,60,11:52:45.135189,11:52:45.344401,0 days 00:00:00.209212
31,2,200,60,11:52:48.377785,11:52:48.602271,0 days 00:00:00.224486
32,3,200,60,11:52:51.634714,11:52:51.848129,0 days 00:00:00.213415
33,4,200,60,11:52:54.884774,11:52:55.090374,0 days 00:00:00.205600
34,5,200,60,11:52:58.117870,11:52:58.327254,0 days 00:00:00.209384
35,6,200,60,11:53:01.351468,11:53:01.560482,0 days 00:00:00.209014
36,7,200,60,11:53:04.587990,11:53:04.800140,0 days 00:00:00.212150
37,8,200,60,11:53:07.833919,11:53:08.043476,0 days 00:00:00.209557
38,9,200,60,11:53:11.090087,11:53:11.299793,0 days 00:00:00.209706
39,10,200,60,11:53:14.334614,11:53:14.543123,0 days 00:00:00.208509
40,1,200,80,11:53:17.568998,11:53:17.779835,0 days 00:00:00.210837
41,2,200,80,11:53:20.803171,11:53:21.016789,0 days 00:00:00.213618
42,3,200,80,11:53:24.049706,11:53:24.260529,0 days 00:00:00.210823
43,4,200,80,11:53:27.299794,11:53:27.509099,0 days 00:00:00.209305
44,5,200,80,11:53:30.536673,11:53:30.739079,0 days 00:00:00.202406
45,6,200,80,11:53:33.778482,11:53:33.982649,0 days 00:00:00.204167
46,7,200,80,11:53:37.015688,11:53:37.229473,0 days 00:00:00.213785
47,8,200,80,11:53:40.268847,11:53:40.477323,0 days 00:00:00.208476
48,9,200,80,11:53:43.498709,11:53:43.701556,0 days 00:00:00.202847
49,10,200,80,11:53:46.724814,11:53:46.931731,0 days 00:00:00.206917
50,1,200,100,11:53:49.967628,11:53:50.177612,0 days 00:00:00.209984
51,2,200,100,11:53:53.199222,11:53:53.408055,0 days 00:00:00.208833
52,3,200,100,11:53:56.434428,11:53:56.645044,0 days 00:00:00.210616
53,4,200,100,11:53:59.681185,11:53:59.895434,0 days 00:00:00.214249
54,5,200,100,11:54:02.931050,11:54:03.140552,0 days 00:00:00.209502
55,6,200,100,11:54:06.190269,11:54:06.390707,0 days 00:00:00.200438
56,7,200,100,11:54:09.424835,11:54:09.630756,0 days 00:00:00.205921
57,8,200,100,11:54:12.656722,11:54:12.863683,0 days 00:00:00.206961
58,9,200,100,11:54:15.889844,11:54:16.110639,0 days 00:00:00.220795
59,10,200,100,11:54:19.149570,11:54:19.351150,0 days 00:00:00.201580
