,Repetition,ON duration (ms),Laser Power (mW),Turn ON Laser Time,Turn OFF Laser Time,Turn ON Laser Time (ms)
0,1,200,0,12:08:17.778052,12:08:17.995042,0 days 00:00:00.216990
1,2,200,0,12:08:21.015016,12:08:21.221355,0 days 00:00:00.206339
2,3,200,0,12:08:24.255028,12:08:24.469022,0 days 00:00:00.213994
3,4,200,0,12:08:27.497510,12:08:27.707126,0 days 00:00:00.209616
4,5,200,0,12:08:30.734267,12:08:30.953386,0 days 00:00:00.219119
5,6,200,0,12:08:33.984820,12:08:34.197452,0 days 00:00:00.212632
6,7,200,0,12:08:37.236455,12:08:37.450969,0 days 00:00:00.214514
7,8,200,0,12:08:40.484318,12:08:40.698266,0 days 00:00:00.213948
8,9,200,0,12:08:43.733755,12:08:43.936656,0 days 00:00:00.202901
9,10,200,0,12:08:46.966820,12:08:47.176475,0 days 00:00:00.209655
10,1,200,20,12:08:50.216983,12:08:50.430830,0 days 00:00:00.213847
11,2,200,20,12:08:53.470864,12:08:53.675737,0 days 00:00:00.204873
12,3,200,20,12:08:56.699837,12:08:56.913952,0 days 00:00:00.214115
13,4,200,20,12:08:59.964150,12:09:00.177935,0 days 00:00:00.213785
14,5,200,20,12:09:03.199365,12:09:03.409043,0 days 00:00:00.209678
15,6,200,20,12:09:06.432437,12:09:06.642009,0 days 00:00:00.209572
16,7,200,20,12:09:09.665762,12:09:09.875268,0 days 00:00:00.209506
17,8,200,20,12:09:12.915459,12:09:13.131894,0 days 00:00:00.216435
18,9,200,20,12:09:16.174874,12:09:16.395961,0 days 00:00:00.221087
19,10,200,20,12:09:19.425161,12:09:19.631657,0 days 00:00:00.206496
20,1,200,40,12:09:22.665109,12:09:22.874526,0 days 00:00:00.209417
21,2,200,40,12:09:25.918222,12:09:26.126930,0 days 00:00:00.208708
22,3,200,40,12:09:29.157784,12:09:29.378098,0 days 00:00:00.220314
23,4,200,40,12:09:32.416876,12:09:32.627865,0 days 00:00:00.210989
24,5,200,40,12:09:35.664378,12:09:35.877450,0 days 00:00:00.213072
25,6,200,40,12:09:38.897437,12:09:39.107125,0 days 00:00:00.209688
26,7,200,40,12:09:42.147220,12:09:42.356974,0 days 00:00:00.209754
27,8,200,40,12:09:45.399492,12:09:45.606593,0 days 00:00:00.207101
28,9,200,40,12:09:48.647484,12:09:48.863962,0 days 00:00:00.216478
29,10,200,40,12:09:51.897138,12:09:52.097732,0 days 00:00:00.200594
30,1,200,60,12:09:55.129802,12:09:55.339393,0 days 00:00:00.209591
31,2,200,60,12:09:58.362651,12:09:58.572890,0 days 00:00:00.210239
32,3,200,60,12:10:01.615468,12:10:01.822931,0 days 00:00:00.207463
33,4,200,60,12:10:04.849923,12:10:05.056100,0 days 00:00:00.206177
34,5,200,60,12:10:08.078725,12:10:08.288951,0 days 00:00:00.210226
35,6,200,60,12:10:11.328815,12:10:11.543266,0 days 00:00:00.214451
36,7,200,60,12:10:14.581606,12:10:14.796016,0 days 00:00:00.214410
37,8,200,60,12:10:17.828193,12:10:18.038510,0 days 00:00:00.210317
38,9,200,60,12:10:21.078404,12:10:21.291745,0 days 00:00:00.213341
39,10,200,60,12:10:24.331461,12:10:24.541809,0 days 00:00:00.210348
40,1,200,80,12:10:27.577829,12:10:27.787697,0 days 00:00:00.209868
41,2,200,80,12:10:30.810938,12:10:31.025538,0 days 00:00:00.214600
42,3,200,80,12:10:34.060920,12:10:34.274302,0 days 00:00:00.213382
43,4,200,80,12:10:37.310358,12:10:37.514259,0 days 00:00:00.203901
44,5,200,80,12:10:40.553476,12:10:40.760297,0 days 00:00:00.206821
45,6,200,80,12:10:43.793748,12:10:44.007948,0 days 00:00:00.214200
46,7,200,80,12:10:47.043512,12:10:47.257668,0 days 00:00:00.214156
47,8,200,80,12:10:50.286727,12:10:50.493253,0 days 00:00:00.206526
48,9,200,80,12:10:53.526412,12:10:53.739978,0 days 00:00:00.213566
49,10,200,80,12:10:56.776251,12:10:56.990037,0 days 00:00:00.213786
50,1,200,100,12:11:00.029056,12:11:00.236208,0 days 00:00:00.207152
51,2,200,100,12:11:03.275995,12:11:03.490119,0 days 00:00:00.214124
52,3,200,100,12:11:06.519057,12:11:06.725473,0 days 00:00:00.206416
53,4,200,100,12:11:09.758966,12:11:09.968906,0 days 00:00:00.209940
54,5,200,100,12:11:13.002792,12:11:13.212657,0 days 00:00:00.209865
55,6,200,100,12:11:16.241677,12:11:16.451854,0 days 00:00:00.210177
56,7,200,100,12:11:19.475135,12:11:19.685341,0 days 00:00:00.210206
57,8,200,100,12:11:22.708313,12:11:22.911521,0 days 00:00:00.203208
58,9,200,100,12:11:25.941644,12:11:26.151376,0 days 00:00:00.209732
59,10,200,100,12:11:29.193645,12:11:29.408153,0 days 00:00:00.214508
